file_name,caption_1,caption_2,caption_3,caption_4,caption_5,caption_6,caption_7,caption_8,caption_9,caption_10
PS3F_FOZ_centro_RuaNaipi_Noite.wav,a canine woofs at an approaching automobile while a young boy talks ,a dog is yelping while a car is passing a person is singing in succession another car is travelling by ,a dog yelps a car passes by a person sings and then another car passes by ,a dog yelps several vehicle engines roar by and a woman speaks while faint footsteps echo in the background ,a dog yelps several vehicle engines roar by and a woman speaks while faint footsteps hit the ground ,a canine looks at an approaching automobile while a young boy talks,a dog is yelping while a car is passing another person is singing in succession another car is travelling by,"a dog yelps a car passes, a person sings and then another car passes by",a dog yelps several vehicle engines roar by and a woman speaks while faint footsteps echo in a background,"a dog yelps several vehicle engines roar by, a woman speaks while faint footsteps hit the ground"
Nightingale.wav,a number of birds are chirping as the video goes on ,a number of birds are chirping while the video goes on ,birds are singing making short quick chirps and tweets continuously ,birds of many different kinds are flocking together chirping and singing ,different species of birds are chirping and singing in close proximity to each other ,a flock of birds are chirping as the video goes on,a number of birds are chirping while the video is on,birds are singing making short quick calls and tweets continuously,birds of many different kinds are gathered together chirping and singing,different species of birds are dancing and singing in close proximity to each other
Canarian_Bird_In_Cage_Singing_2.wav,a bird is whistling and it speeds up and slows down its voice ,a bird is whistling and it speeds up and slows down the song ,a bird trills chirps and then the bird beeps ,a bird trills chirps and then the bird cheeps ,a small bird with a chirp that has a higher pitch,a bird is whistling and then speeds up and slows down its voice,a bird is whistling and it speeds away and slows down the song,a bird trills chirps and then a bird beeps,a bird trills chirps and again the bird cheeps,a small bird has a chirp that has a higher pitch
"ICE passing by, then an ambulance with siren.wav",a passenger is riding on a trolley train while ambulance sirens blare by ,ambulance sirens blare by as a passenger rode on a trolley train ,traffic and a lot of air moving quickly through a restricted orifice nearby ,trucks cars and emergency vehicles drive through a busy city ,trucks cars and emergency vehicles all drive through a busy city ,a passenger is riding on a trolley train while ambulance sirens sound by,ambulance sirens blare by while a passenger rode on a trolley train,traffic and a lot of air moving in through a restricted orifice nearby,"trucks, and emergency vehicles drive through a busy city",trucks cars and emergency vehicles all sped through a busy city
Lincoln Nebraska Tornado 5 9 2016.wav,a plastic pipe is being turned at high speed creating whistling and humming noises ,a plastic pipe turns and creates loud noises ,low natural music proceeds steadily escalates slightly with a whistle then continues steadily ,music plays in a low volume before escalating and leveling out ,someone is spinning a hollow tube causing the rushing air to gurgle and resemble sound from science fiction ,a plastic pipe is being turned at high speed creating clicking and humming noises,a plastic tube turns and creates loud noises,low natural pitch proceeds steadily escalates slightly with a whistle then continues steadily,music plays in a single volume before escalating and leveling out,someone is spinning a hollow tube causing the rushing air to gurgle and the sound from science fiction
Some Sort of Engine 1.wav,a long steady vibration is made by a motor,a motor is making a long steady vibration ,a person operating a jackhammer creating a loud disturbance ,someone is operating a jackhammer and it is noisy ,spinning blades are chopping through the air very fast ,a very steady vibration is made by a motor,a motor is not a long steady vibration,a person operating a jackhammer creating a mechanical disturbance,someone is operating a jackhammer and everything is noisy,spinning blades are chopping through the air very.
Stoney_StormyC_Nov12.wav,a jet sound roars continuously and then gets a bit louder ,cars driving by on a wet road way after a storm has calmed down ,cars driving by on a wet road way after a storm ,ocean waves are crashing loudly onto a beach ,the wind is blowing strongly and pushes with several gusts ,a jet sound roars continuously and it gets a bit louder,cars driving by on a wet road way after a storm has broken down,"cars driving by on a wet road, after a storm",ocean shells are crashing loudly onto a beach,the wind is blowing strongly and pushes with several.
Car wash.wav,a train runs over tracks as the air in the cabin is pressurized ,an airplane is flying in the sky at a constant speed ,an airplane soars high in the sky at a steady pace ,the wind is blowing over a large open space and occasionally water splashes ,wind blows over a large open space as water splashes occasionally ,a train runs on tracks as the air in the cabin is pressurized,"an airplane, flying in the sky at a constant speed",an airplane soars high in the air at a steady pace,the wind is blowing over a large open space and occasionally water.,wind blowing over a large open space as water splashes occasionally
maskingtape.wav,a radio produces a white noise and malfunctions as a voice tries to communicate ,a balloon being rubbed against others and against something else creating a loud squeaking noise ,electrical interference static being broadcast through a radio speaker ,electrical interference static broadcast through a radio speaker ,when a balloon is rubbed against something it creates a loud squeaking noise ,a radio produces some white noise and malfunctions as a voice tries to communicate,a balloon being rubbed against others and against something else creating the loud squeaking noise,electrical interference static being broadcast from a radio speaker,electrical interference static broadcast through the radio speaker,when a balloon is rubbed against something it creates a loud popping noise
Car_Keys.wav,a clank of chains winding towards the ground to be collected at the bottom ,someone is dragging a chain around on a table ,someone is rattling the metal discs in a chain so that they clink ,someone is rattling metal discs joined together in a chain so they clink ,someone is dragging a metallic object across a table ,a clank of chains winding towards the ground to be collected from the bottom,someone is dragging the chain around on a table,someone is rattling the metal discs in a row so that they clink,someone is rattling metal discs joined together in a chain as they clink,someone is throwing a metallic object across a table
Radio annoyance.wav,a lot of static followed by a song playing during slightly less static ,a lot of static occurs and then a song plays with slightly less static ,an old fashioned record player is skipping and then it begins to play a woman singing ,an old fashioned record player skipping then begins to play a woman singing ,someone changing through stations full of static on a radio ,"a lot of static followed by a song playing, slightly less static",a lot of static occurs and then a song plays with slightly less.,an old fashioned record player is skipping and suddenly it begins to play a woman singing,an old vinyl record player skipping then begins to play a woman singing,someone changing radio stations full of static on a radio
Country Stream (2).wav,water flowing in a creek at a fast pace ,water flows quickly and steadily in a creek ,water flows quickly into a container of water ,water is coming down quickly and powerfully from a waterfall ,water is running continuously from a faucet into a tub ,water flowing in a creek at a rapid pace,water flows quickly and steadily into a creek,water poured quickly into a container of water,water is coming down quickly and powerfully from a.,water is running continuously from the faucet into a tub
Cardiff Bay fireworks.wav,fireworks go off continuously as kids talk and shout in the background ,fireworks was exploding in the sky and the crowd was cheering,fireworks were exploding in the sky and the crowd was cheering ,people comment on the fireworks shooting and exploding in the sky,while a person is shouting some fireworks are going off ,fireworks go off continuously as kids talk and shout from the background,fireworks was exploding across the sky and the crowd was cheering,fireworks were exploding from the sky and the crowd was cheering,people comment on the fireworks shooting and exploding in the.,while a person is shouting some things are going off
Cardinal Key West.wav,a bird is calling and chirping twice using a repeating pattern ,a bird is singing and then takes a quick break before singing again ,a bird sings then it rests for a moment before continuing to chirp ,on a clear day a bird chirps at a high pitch ,the bird calls chirps twice then begins the pattern once again ,"a bird is calling and chirping, using a repeating pattern",a bird is heard and then takes a quick break before singing again,a bird sings then it rests there a moment before continuing to chirp,on a clear day a bird chirps at a distant pitch,the bird calls chirps twice then begins its pattern once again
cartwheel suitcase plastic wheels rolling on tiled pavement floor plock tock with ambient outdoors.wav,a person dragging a suitcase along a hard surface ,some horse buckle in a road of some steps ,various hard objects are slapping against each other and people are conversing in the background ,wheeled bag being pulled over the breaks in a walkway,wheeled suitcase being pulled over the cracks in a sidewalk,a person dragging a suitcase along a hard.,some horse buckle in a road of stone steps,various hard objects are slapping against each another and people are conversing in the background,wheeled bag being pulled over by breaks in a walkway,wheeled suitcase being dragged over the cracks in a sidewalk
"Fly fishing - winding in reel fast, slow.wav",a a wind up is wound faster then slower ,a fishing line being pulled in and then some give and then pulling it,a machine is being tuned up and adjusted using a ratchet ,someone with a fishing pole reeling something in ,a fishing line being pulled or rolled in and then some give and then pulling it,a a wind up is usually faster then slower,a fishing line being pulled in and then some give and then dropping it,a machine is being tuned up and operated using a ratchet,someone with a fishing rod reeling something in,a fishing line being cut or rolled in and then some give and then pulling it
Matches.wav,a match is removed from packaging lit the fire burns for a moment and fades then this all repeats ,a person is sorting through and opening up mail ,a match is scraped on a match box and lit multiple times ,a match being scraped against a matchbox and eventually lighting multiple times ,match taken from package struck fire burns dies then the entire process repeated a couple of times ,"a match is removed from packaging lit the fire burns for a moment and fades, this all repeats",a person is sorting through and opening the mail,a match is scraped on a match box and lit three times,a match being scraped against the matchbox and eventually lighting multiple times,"match taken from package struck fire, dies then the entire process repeated a couple of times"
cat eating cat food.wav,a person dumps a container of small objects and then pulls at the sides,a person dumps some small objects out of a container and then pulls at the sides ,a plastic bug scrunches and then a person snaps their fingers a few times ,dried beans are poured onto a tabletop then crushed a few at a time ,the crunching of small objects in a very quiet room ,a person dumps a container of small rocks and then pulls at the sides,a person dumps some small objects out of a container and it pulls at the sides,a plastic bag scrunches and then a person snaps their fingers a few times,dried beans were poured onto a tabletop then crushed a few at a time,the crunching of small objects in the very quiet room
Cat Licking Water In Cup.wav,a dog or a cat is cleaning itself,an animal with a thick coat is cleaning itself while producing light noises from its cleaning ,a little bird playing by himself in his cage ,the bird snapped at something as it was drinking water ,the bird snaps at something while it drinks water ,a dog or a cat is not itself,an animal with a thick coat is scratching itself while producing light noises from its cleaning,a little bird playing by itself in his cage,the bird pointed at something as it was drinking water,the bird snaps at it while it drinks water
CuttingCarrot.wav,a person chopping and cutting vegetables on a cutting board ,a person is chopping and cutting vegetables on a cutting board ,a person slices vegetables on a cutting board with a knife ,carrots are being sliced on a wooden cutting board ,someone is cutting up carrots on a wooden cutting board ,a person chopping or cutting vegetables on a cutting board,a person is chopping and cutting vegetables on a cutting.,a person slices vegetables on a cutting board or a knife,carrots are being sliced with a wooden cutting board,someone is cutting up carrots on a wood cutting board
Cat Purring 2.wav,a cat is snoring heavily while it is sleeping ,a cat is snoring heavily while it sleeps ,a cat is purring up close as it is being gently stroked ,some insects are making a hissing sound while in the bushes ,insects are making hissing sounds in the bush,a cat is snoring heavily while he is sleeping,a cat is snoring heavily while it.,a cat is purring up close where it is being gently stroked,some insects are making a hissing sound while in the water,insects were making hissing sounds in the bush
cathedral ambience 01.wav,a crowded train station is full of people walking to and fro,a person walking threw a laundry room of dryers ,humans are walking inside a building and it is windy outside ,strong gusts of wind are blowing while an object taps vigorously on a hard surface continuously ,strong gusts of wind blowing while an object taps vigorously on a hard surface continuously,"a crowded train station, full of people walking to and fro",a person who threw a laundry room of dryers,humans are walking inside a building and it is dark outside,strong gusts of wind are blowing as an object taps vigorously on a hard surface continuously,strong gusts of wind blowing while an object taps vigorously on a flat surface continuously
sw_RainWithCrickets_20100917.wav,a fan is running quietly as the rain falls steadily in the background ,fan motor running with rain in the background ,heavy rain hits the ground during a storm ,it is raining cats and dogs during a storm ,it is raining loudly as cars are driving by ,a fan is running quietly and the rain falls steadily in the background,"fan motor, with rain in the background",heavy rain hits the ground during a.,it was raining cats and dogs during a storm,"it is raining, as cars are driving by"
CFX-20130331-UK-DorsetSeaCliff03.wav,a bird is singing while a man speaks and ocean waves roll by ,a man is talking while the waves crashing to the shores and seagulls chirping in the background ,a man is talking then seagulls begin squawking in the background and waves are crashing on the beach ,a man is talking with seagulls squawking and waves crashing on the beach behind him ,a man is speaking ocean waves are rolling a bird is singing,a bird is heard while a man speaks and ocean waves roll by,a man is talking while the waves crashing to the shore and seagulls chirping in the background,a woman is talking then seagulls begin squawking in the background and waves are crashing on the beach,"a man is talking, seagulls squawking and waves crashing on the beach behind him",a man is speaking ocean waves and rolling a bird is singing
Industrial Heating Vent.wav,a machine is running and increasing in speed but then slowing down ,a machine is running and increasing in speed then slowing down ,a waterfall getting louder as it is being approached by someone ,an industrial fan running inside of a garage ,the train clattered along the tracks screeching and whistling ,a machine is running and increasing in speed but not slowing down,a car is running and increasing in speed then slowing down,a waterfall getting louder as it is being heard by someone,an industrial fan running inside of the garage,the train clattered along the tracks screeching and.
chainsaw and little tree.wav,a chainsaw is cranked and then cuts through something ,a chainsaw is started and emits a steady whine before it is used to cut something ,a person starts a chain saw and the person revs it and then presses on the gas ,she started the chainsaw and then throttled the engine to make it roar to life ,the person started the chain saw first then revved it continuously ,a chainsaw is cranked and it cuts through something,a chainsaw is started and emits a steady whine before it is used to move something,a person starts a chain saw and the person revs it and then presses on the.,she started the chainsaw and then throttled the engine to let it roar to life,the person started the chain saw first then stopped it continuously
Cheer.wav,a crowd cheers and claps excitedly all at once ,a crowd of people of clapping men cheering women cheering continued clapping slowly stopping,a crowd of people including men and women were clapping and cheering until it slowly stop ,cheering whooping hollering and applause which gradually diminishes to a halt ,the cheering whooping yelling and clapping gradually diminish to a halt ,a crowd shouts and claps excitedly all at once,"a crowd of people of clapping men cheering women cheering continued clapping, stopping",a crowd of thousands including men and women were clapping and cheering until it slowly stop,cheering whooping hollering and applause which gradually came to a halt,the cheering whooping yelling and clapping gradually came to a halt
Chickadees Singing.wav,a slew of ducks quack and in the background more birds chirp ,a slew of ducks quacking and birds chirping in the background ,adult ducks are quacking and baby ducks are chirping ,adult ducks are quacking while the baby ducks are chirping ,several ducks are quacking and a very high pitched bird chips over them ,a slew of ducks quack and in the background more insects chirp,a slew with ducks quacking and birds chirping in the background,adult ducks are quacking and baby ducks is chirping,adult ducks are quacking while the young ducks are chirping,several ducks were quacking and a very high pitched bird chips over them
chicken_freesound.wav,a chicken is clucking and flapping its wings,a chicken is clucking and flapping its wings loudly ,a chicken is clucking while flapping its wings loudly ,a chicken is flapping its wings as it clucks ,in different pitches chickens cluck at each other repetitively ,"a chicken, clucking and flapping its wings",a chicken is clucking and flapping her wings loudly,a bird is clucking while flapping its wings loudly,a chicken is flapping the wings as it clucks,in different countries chickens cluck at each other repetitively
childrenoh.wav,a crowd of laughing and cheering people are ,a crowd of people is laughing and cheering ,a large number of people shout cheerfully in unison ,people are cheering and celebrating a clearly happy occasion ,people cheer and celebrate a clearly happy occasion ,a lot of laughing and cheering people are,a crowd of people is laughing and.,a large number of people shout out in unison,people are cheering and making a clearly happy occasion,people cheer to celebrate a clearly happy occasion
md10trk5.wav,a microwave is turned on and then turns off with several beeps ,a piece of machinery operating followed by a timer going off and the machine stopping ,fan running then turned off watch alarm beeping background oscillation stopping ,the fan was running then the alarm rang and it stopped ,a machine is running before being turned off beeps every few seconds ,a microwave is turned on and then turns off after several beeps,a piece of paper operating followed by a timer going off and the machine stopping,fan running then turned off watch alarm beeping background oscillation.,the fan was running then the alarm sounded and it stopped,a machine is running before it turned off beeps every few seconds
"Chinese Restaurant Atmo, Germany, Subtle.wav",dishes are being clanged and scraped together and children are talking ,dishes are clanging whiles plates are scraping and children are talking ,several people are in a restaurant chatting with dishes clanging in the background ,several people in a restaurant chatting with dishes clanging in the background ,some plates and dishes are clanking and a lot of inaudible speech is being said ,dishes are all clanged and scraped together and children are talking,dishes are clanging whiles plates are scraping and children are.,several people are at a restaurant chatting with dishes clanging in the background,several people in a restaurant chatting with dishes somewhere in the background,some plates and dishes are clanking and a lot of inaudible speech was being said
wood desk Open and close.wav,a machine is sorting or breaking up cards or thick card stock made of paper ,a machine sorts out or groups cards or a thick card stock made of paper ,a rhythmic sliding with a thud every time one end is met ,rhythmic sliding with a thud every time one end is met ,someone is chopping wood for the fire outside very slowly,a machine is sorting or breaking up cards in thick card stock made of paper,a machine sorts out or groups cards or a thick card stock out of paper,a blade sliding with a thud every time one end is met,rhythmic sliding with a thud everywhere one end is met,"someone is chopping wood for the fire, very slowly"
Chris&#39; Elevator.wav,a closet door slides open then a chair rolls across the floor ,a freight elevator being loaded and going up the shift and stopping at a floor ,a freight elevator was loaded and went up the shaft to stop at a floor above ,a person opens a large closet and moves items around ,a steel door opens and then is pushed back on a bar with roller wheels ,a closet door swings open then a chair rolls across the floor,a freight elevator being loaded and going up the stairs and stopping at a floor,a freight elevator had loaded and went up the shaft to stop at a floor above,a person opens a storage closet and moves items around,a steel door opens and then is set back on a bar with roller wheels
Chris&#39; window noise.wav,a howling wind blows harshly as pieces of ice slam into a hard surface ,a strong gust blows several metal objects into clinking against each other ,the wind blowing through a porch and blowing a can around ,the wind blows on the porch and a can is blowing in the wind ,the wind howls through the window as the hail falls on the roof ,a howling wind blows harshly as pieces of glass slam into a hard surface,a strong gust blows several metal objects into clinking with each other,the breeze blowing through a porch and blowing a can around,the wind is on the porch and a can is blowing in the wind,the wind howls through my window as the hail falls on the roof
Skate pass on road 4.wav,a person is riding a skateboard on the pavement ,a skateboard clatters and vibrates as it gathers speed across concrete and stops ,a skateboard moves over pavement increasing and decreasing in speed ,going slower and faster a skateboard glides over the pavement ,someone is rolling down the sidewalk on a skateboard ,a person was riding a skateboard on the pavement,"a skateboard clatters, vibrates as it gathers speed across concrete and stops",a car moves over pavement increasing and decreasing in speed,going slower or faster a skateboard glides over the pavement,someone is rolling down the sidewalk on his skateboard
Chuck-will&#39;s-widow.wav,a bird singing cheerfully with a mild echo ,welcoming and mild echo is occurring while a bird is singing cheerfully ,in a confined space a bird is singing and chirping ,it is a bird chirping sounds in the background ,it sounds to me like a bird chirping ,a bird singing cheerfully in a mild echo,welcoming and mild echo is heard while a bird is singing cheerfully,in the confined space a bird is singing and chirping,it is a bird chirping sounds in the.,it sounds to me like a bird.
Cicada-Indian Insect Sound.wav,a cricket continuously chirps while wind blows in the background ,a snake is rattling its tail and crickets are chirping ,bugs are buzzing and then pulsating before they become quiet ,bugs buzzing and then pulsating before they die down ,crickets are chirping while a snake is rattling its tail ,a cricket continuously chirps while thunder blows in the background,a snake is rattling its tail and birds are chirping,bugs are buzzing and then buzzing before they become quiet,bugs buzzing and slowly pulsating before they die down,crickets are chirping while the snake is rattling its tail
distant cars.wav,crickets chirp in the background and cars drive down the road ,crickets chirping with vehicles running in the background outside and some light bird chirping at the end ,people are travelling at dusk with crickets chirping in the back round ,someone is driving at night with the windows down while bugs are chirping ,crickets in the background and cars travelling down the road ,crickets chirp in the background and cars roll down the road,crickets chirping with water running in the background outside and some light bird chirping at the end,people are travelling at dusk with crickets playing in the back round,someone is driving at night with his windows down while bugs are chirping,crickets in the background and cars travelling down a road
Cigarette_roll_pack.wav,a fireplace that is being cleaned out by someone ,a person scrapes a surface then the person bangs the scraper on an edge of the surface ,a wooden object is tapped on a ceramic bowl ,a person scrapes a surface then bangs the scraper on an edge ,wood is rapped across the surface of a ceramic bowl,a fireplace that was being cleaned out by someone,a person scrapes a surface then the person bangs the object on an edge of the surface,a wooden spoon is tapped on a ceramic bowl,a person scrapes a tooth then bangs the scraper on an edge,wood is spread across the surface of a ceramic bowl
DePanne.wav,as waves crash in all along the coast blustery winds cause interference ,heavy rain pouring down while the wind howls in the background ,rain falls steadily and a heavy wind blows ,waves are crashing in along the coast as blustery winds cause interference ,wind blows heavily and rain falls at a steady rate ,as waves crash in all along this coast blustery winds cause interference,heavy rain pouring down while the wind howls in a background,rain falls steadily and a strong wind blows,waves are crashing down along the coast as blustery winds cause interference,wind blows heavily and rain comes at a steady rate
Marina Ambient.wav,a bird chirps a few times while cars drive in the distance ,an airplane is passing by overhead and birds are chirping near a waterway ,an airplane passing by overhead and birds chirping near a waterway ,cars are driving in the distance and a bird chirps a few times ,it is storming out and a lonely seagull calls out ,a bird calls a few times while cars drive in the distance,an airplane is passing by overhead and birds are chirping in a waterway,an airplane passing by overhead and birds chirping near the waterway,cars are driving in the distance and a helicopter chirps a few times,it is storming out and a giant seagull calls out
Sticks Hitting sticks.wav,a soft splash resonates as a wooden rod hits the water ,a tennis ball going back and forth being hit ,a tennis ball is being hit and going back and forth ,someone is carving and cutting wood with a chisel and a hammer,someone outside hitting a tree with a baseball bat ,a soft splash resonates as a wooden rod strikes the water,a tennis shoe going back and forth being hit,a tennis ball is being hit and going up and forth,"someone is carving and cutting, with a chisel and a hammer",someone outside hitting a tree using a baseball bat
window_cleaning.wav,a couple of persons are playing on adjacent sides of a window using their fingers to make sounds ,a person cleans a window until it squeaks and another person plays a musical horn several times,a person is wiping down a window and it squeaks and someone blows a musical horn a few times ,two people are playing on either side of a glass pane making noises with their fingers ,cleaning a house or car glass windows squeaking,a couple dozen persons are playing on adjacent sides of a window using their fingers to make sounds,a person opens a window until it squeaks and another person plays a musical horn several times,a person is wiping down a window and it squeaks and then blows a musical horn a few times,two people are playing on either side of a glass pane making noises with their.,cleaning a house or car ; windows squeaking
coffe_machine.wav,a vending machine is brewing preparing and pouring out a drink for the customer ,an axe is chopping wood and in the background a saw buzzes ,someone is vacuuming the floor and picking up some larger pieces of something ,the vending machine brews prepares and pours the drink of the customer ,someone making coffee or a similar drink with a piece of kitchen equipment,a vending machines is brewing preparing and pouring out a drink for the customer,an axe is chopping wood and in the background a saw.,someone is vacuuming the floor and picking up some larger piece of something,the vending machines brews prepares and pours the drink of the customer,someone making coffee is a similar drink with a piece of kitchen equipment
Fireworks-close-01nov2014.wav,fireworks are lit and launched up into the sky and exploding ,fireworks being lit and fired up in the sky and exploding ,fireworks shoot off and then pop a little later ,tape is stretched and then the taped up boxes are taken away,the fireworks shoot off and then pop a little later ,fireworks are lit and launched up into a sky and exploding,fireworks being lit and fired up in the sky and ;,fireworks shoot off and they pop a little later,tape is stretched out then the taped up boxes are taken away,"the fireworks shoot, and then pop a little later"
coffeeMachine_makingCoffe.wav,a blender is being operated at different speeds ,a machine drill begins to run and then the machine begins to hum ,at different speeds a blender is being operated ,the compressor turns on and off after an electric drill is used ,the engine in an electric screwdriver begins to run stops and then slowly starts up again ,a blender is being operated with different speeds,a machine drill begins to play and then the machine begins to hum,at different speeds a car is being operated,the engine turns on and off after an electric drill is used,the engine in an electric screwdriver starts to run stops and then slowly starts up again
CoinSpin.wav,a coin falling on the ground and a second coin spinning before it falls ,a coin falls on the ground then rolls before slowing down and stopping ,a coin is dropped it is then picked up and is spinning ,the coin dropped spins and starts to fall as it is picked up ,one coin hit the floor and settled one coin hit the floor and took a second to stop spinning,a coin falling on the ground and a second coin spinning before it ;,a coin falls on the ground then rolls before falling down and stopping,a coin is dropped it is not picked up and is spinning,the coin dropped spins or starts to fall as it is picked up,one coin hit the wall and settled one coin hit the floor and took a second to stop spinning
Pencil Scratch 2.wav,a pencil scratches rhythmically against a page of paper ,a person drawing on a piece of paper ,someone is drawing and coloring the drawing with a pencil,someone is drawing and coloring the drawing with pencils ,someone is using chalk to write on a chalkboard ,a pencil scratches something against a page of paper,a person drawing on a sheet of paper,someone is drawing and coloring the drawing on a pencil,someone is reading and coloring the drawing with pencils,someone is using chalk to write on the chalkboard
ComeAndGo-metro-BCN.wav,a machine with a conveyor belt or traffic passing by in the distance ,an electric tram moving away from one station accelerating then slowing for the next stop,people talk in the subway station as trains speed by ,the electric tram drives away from the current station then slows down for its next stop ,train moving through a tunnel at varying speeds ,a machine with a conveyor belt or traffic going by in the distance,an electric tram moving away at one station accelerating then slowing for the next stop,people talk in the subway station as they speed by,the first tram drives away from the current station then slows down for its next stop,train moving through the tunnel at varying speeds
froggies.wav,a large group of frogs are croaking with each other ,a lot of frogs are croaking and singing loudly ,crickets and frogs crowing at night to make the night sounds ,several frogs are croaking and katydids join in ,a lot of frogs are croaking together loudly,a large group of frogs are croaking at each other,a lot of people are croaking and singing loudly,crickets and frogs crowing all night to make the night sounds,several frogs are croaking and others join in,a lot of frogs are croaking too loudly
Construction 1.wav,a beep indicates a truck in backing up ,a motor runs outdoors on a windy day ,a truck is moving in reverse with its backup alarm is beeping then it switches to drive ,a vehicle revving up while it is backing up ,construction sounds in the background along with the back up alarm of a truck ,a beep indicates a truck in line up,a train runs outdoors on a windy day,a truck is moving in reverse with its backup engine is beeping then it switches to drive,a vehicle revving up while it is backing.,construction sounds in the background along to the back up alarm of a truck
MicroscopeSlides.wav,a file is scraping against another hard object in an irregular way ,a knife is used by a person carving some wood ,a piece of wood that is being carved out ,someone is using chalk and a straight edge to do some work on concrete ,someone carves a piece of wood with a knife ,a file is scraping against another hard object in some irregular way,a knife is used by a person carving on wood,a piece of wood which is being carved out,someone was using chalk and a straight edge to do some work on concrete,someone carves a piece of wood with his knife
construction site 1.wav,a machine is running fast and some people are talking along in it ,a moving bus has its passengers talking in the background and then a horn blared from afar,people are in a restaurant moving dishes and speaking when a machine runs ,people in a restaurant are rattling crockery and cutlery before a restaurant device whirs into operation ,the passengers in the moving bus talked in the background and then a horn blared from afar ,a machine is running fast and some men are talking along in it,"a moving bus has its passengers talking in the background, then a horn blared from afar",people are in a restaurant moving dishes or speaking when a machine runs,people in a restaurant hear rattling crockery and cutlery before a restaurant device whirs into operation,the passengers in the moving bus talked into the background and then a horn blared from afar
Maas 02 100215.wav,noise from a highway is in the distance while splashing water is nearby ,splashing in nearby water and a highway in the far distance ,the motor swishes the wet was of the washing machine ,traffic roars by while waves gently lap at an obstacle in their way ,waves gently lap at an obstacle in their way as traffic roars by ,noise from a highway is in the distance and splashing water is nearby,splashing in nearby water on a highway in the far distance,the motor swishes the wet was in the washing machine,traffic roars by while cars gently lap at an obstacle in their way,waves gently lap at an obstacle in their way as it roars by
Noisy Old Elevator.wav,a door slowly closed and dropped to the lock which bumped together,an engine is started and then someone opens a heavy door and steps outside before closing it again ,an engine is whirring and then someone opens a heavy door and steps outside before closing it again,someone is rolling a cart and running a food counter while someone else runs up the stairs ,when the door slowly closed the lock dropped together with a thud ,a door slowly closed and dropped to the lock which clicked together,"an engine is started, then someone opens a heavy door and steps outside before closing it again",an engine is whirring and then someone opens a heavy door and steps outside before opening it again,someone is rolling a cart and running the food counter while someone else runs up the stairs,when the door slowly closed the lock dropped together with a.
Cookie pan hit.wav,a golf ball collides with a metal plate thirteen times ,a hard object is striking another hollow metal object in an irregular fashion ,a hard object strikes a hollow metal object irregularly ,a loud bang of a metal material occurs many times ,a loud banging of a metal material occurs several times ,a golf ball collides with a metal ball thirteen times,a hard object is not another hollow metal object in an irregular fashion,a glass object strikes a hollow metal object irregularly,a loud bang of a metal material occurs several times,a loud banging of a metal door occurs several times
Generator.wav,a chain is being pulled from a reel and patted and pulled once again ,a chain was being dragged on a hard surface ,on a hard surface some heavy objects are being moved shifted and rearranged ,paper is pulled and wrapped around an object while a staple is used ,a chain being dragged on a hard surface,a chain is being pulled from a reel and patted and stroked once again,a chain was being dragged across a hard surface,on a hard surface some heavy objects are easily moved shifted and rearranged,paper being pulled and wrapped around an object while a staple is used,a body being dragged on a hard surface
Hospital corridor.wav,a person in a kitchen is talking and making dough,a person is making some dough in a kitchen and talking,hard objects are scraping and banging against each other and people are talking close by ,people are talking near where hard objects are scraping and then banging against each other ,various items are being placed in bags as a woman speaks to another woman ,a person in a kitchen is talking about making dough,a person is making some dough in a kitchen and ;,hard objects are scraping and banging against each another and people are talking close by,people are talking near where hard objects start scraping and then banging against each other,various items are being carried in bags as a woman speaks to another woman
Cooking with Gas ( Like a Rocket).wav,a furnace being ignited and it then blasts a large amount of heat and noise ,a furnace ignites then blasts a large amount of heat and noise ,a person uses a blowtorch on several pieces of metal ,a person using a blowtorch on several pieces of metal,a large grinder starts up and begins grinding objects,a furnace being ignited and it then blasts a large quantity of heat and noise,a furnace ignites then blasts a large amount of heat producing noise,a person uses a blowtorch on several lengths of metal,a person using a blowtorch on small pieces of metal,a large grinder comes up and begins grinding objects
cooking_02.wav,running water is used to sluice something metallic ,the metallic object was rinsed under the running water ,the water loudly gurgled with the clanking of pots and pans ,water is running over all the metal utensils while they are being cleaned ,water was running over metal utensils while they were being washed,running water is supposed to sluice something metallic,the metallic object had rinsed under the running water,the water loudly gurgled with the clanking of pots and.,water is running over all the metal utensils while these are being cleaned,water was running over metal utensils as they were being washed
Kitchen Noise From Distance.wav,dishes being gathered together for some kind of use ,someone putting dishes away in the kitchen cabinet ,the dishes are being put away in the kitchen ,the eating utensil is set down before the next place is arranged at the table ,within a nearby room silverware is being fumbled ,dishes being gathered together for any kind of use,someone putting it away in the kitchen cabinet,the dishes are being put away in my kitchen,the eating utensil is set down before the next place is arranged at the.,within a nearby building silverware is being fumbled
R09_0007.wav,the applause of a crowd continues steadily but fails to erupt ,a group of people have been clapping in rhythm ,a large group of people are clapping their hands ,a large group of people clap their hands ,a group of people are clapping in rhythm,the applause from a crowd continues steadily but fails to erupt,a group of people have stopped clapping in rhythm,a large group of men are clapping their hands,a large group of people clap their.,a lot of people are clapping in rhythm
